STATE	<BIGBANG>	<ABRE_CHAVE>	<FECHA_CHAVE>	<ENTROPIA>	<ID>	<NUM_BOOL_TRUE>	<NUM_BOOL_FALSE>	<NUM_INTEGER>	<NUM_FLOAT>	<OP_ARIT_MAIS>	<OP_ARIT_MULTI>	<OP_ARIT_MENOS>	<OP_ARIT_DIV>	<OP_LOGICO_E>	<OP_LOGICO_OU>	<OP_LOGICO_NAO_LOGICO>	<ATRIBUICAO>	<PONTO_VIRGULA>	<TIPO_NUM_INTEGER>	<TIPO_NUM_FLOAT>	<TIPO_NUM_BOOL>	<OP_REL_MENOR>	<OP_REL_MAIOR>	<OP_REL_MENOR_IG>	<OP_REL_MAIOR_IG>	<OP_REL_DIF_IG>	<OP_REL_IG_IG>	<IF>	<ABRE_PARENT>	<FECHA_PARENT>	<ELSE>	<FOR>	<WHILE>	$	S	D	F	J	R	N	P	E	K	B	Q	L	T	V	U	X	G
0	s1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1	?	s2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
2	?	?	r27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s5	s6	s7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	4	?	?	?	?	?	?
3	?	?	s8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
4	?	?	r27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s5	s6	s7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	9	4	?	?	?	?	?	?
5	?	?	?	?	s10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
6	?	?	?	?	s11	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
7	?	?	?	?	s12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
8	?	?	?	s13	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
9	?	?	r26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
